Keyword	Hacim	Pozisyon	Trafik	KD	CPC (cent)	URL	Kategori	Cluster	Intent
doğtaş yatak odası takımı	1800	1	984	0	3	https://www.dogtas.com/yatak-odasi	Brand	Yatak Odası	I/C
mutfak sandalyesi	19000	8	972	0	3	https://www.dogtas.com/mutfak-grubu-sandalyeleri	Quick Win	Masa / Sandalye	I/C/T
doğtaş yemek odası	1700	1	954	1	4	https://www.dogtas.com/yemek-odasi	Brand	Yemek Odası	I/C
doğtaş mobilya koltuk takımları	1500	1	953	0	3	https://www.dogtas.com/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
doğtaş koltuk takımı modelleri ve fiyatları	1100	1	864	3	3	https://www.dogtas.com/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
doğtaş toscana koltuk takımı	1300	1	814	0		https://www.dogtas.com/bohem-toscana-koltuk-takimi	Brand	Koltuk / Oturma	I/C
doğtaş oturma grubu	1000	1	809	1	3	https://www.dogtas.com/oturma-grubu	Brand	Koltuk / Oturma	I/C
köşe koltuk takımı	23000	11	801	2	6	https://www.dogtas.com/kose-takimlari	Quick Win	Koltuk / Oturma	I/C
furniture store	700	1	781	90	9	https://www.dogtas.com/tr	Non-Brand	Blog / Bilgi	I/C
doğtaş sandalye	1000	1	776	0	4	https://www.dogtas.com/sandalyeler	Brand	Masa / Sandalye	I/C
tv ünitesi - doğtaş	1100	1	763	0	3	https://www.dogtas.com/tv-uniteleri	Brand	TV Ünitesi	I/C
doğtaş konsol	1300	1	742	0	3	https://www.dogtas.com/konsollar	Brand	Sehpa / Konsol	I/C
doğtaş müşteri hizmetleri 0850	1100	1	733	0	5	https://www.dogtas.com/online-satis-danismani	Brand	Diğer	I
bohem yemek masası	12000	6	698	0	7	https://www.dogtas.com/legna-yemek-odasi-takimi	Quick Win	Masa / Sandalye	I/C
çocuk odası takımı	12000	5	678	1	6	https://www.dogtas.com/genc-ve-cocuk-odasi	Quick Win	Genç / Çocuk Odası	I/C
televizyon ünitesi	15000	7	634	7	4	https://www.dogtas.com/tv-uniteleri	Quick Win	TV Ünitesi	I/C
ev temizliği nasıl yapılır	800	1	624	0	3	https://www.dogtas.com/ev-temizligi-nasil-yapilir	Long-Tail	Blog / Bilgi	I
doğtaş l koltuk	1100	1	617	0	4	https://www.dogtas.com/kose-takimlari	Brand	Koltuk / Oturma	I/C
doğtaş yataklı koltuk takımları	600	1	615	0	4	https://www.dogtas.com/yatakli-koltuklar	Brand	Koltuk / Oturma	I/C
doğtaş gardrop	700	1	600	0	6	https://www.dogtas.com/dolaplar	Brand	Yatak Odası	I/C
doğtaş outlet	450	1	595	0	5	https://www.dogtas.com/magazalar-dogtas-outlet	Brand	Diğer	I/C
oyuncu odası	3000	1	591	0	2	https://www.dogtas.com/gamer-oyuncu-odasi	Non-Brand	Genç / Çocuk Odası	I/C
doğtaş koltuk takımları	900	1	586	0	3	https://www.dogtas.com/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
doğtaş düğün paketi	900	1	578	0	3	https://www.dogtas.com/dugun-paketleri	Brand	Düğün / Çeyiz	I/C/T
doğtaş berjer	1000	1	548	0	5	https://www.dogtas.com/berjerler	Brand	Koltuk / Oturma	I/C
l koltuk takımı	25000	10	529	3	5	https://www.dogtas.com/kose-takimlari	Quick Win	Koltuk / Oturma	I/C
yataklı kanepe	4100	6	513	0	6	https://www.dogtas.com/yatakli-koltuklar	Quick Win	Koltuk / Oturma	I/C/T
dogtaş	600	1	511	3	3	https://www.dogtas.com/tr	Brand	Diğer	I/C
doğtaş müşteri hizmetleri 444	800	1	501	1	4	https://www.dogtas.com/contactus	Brand	Diğer	I
doğtaş yemek masası sandalyesi	600	1	499	0	4	https://www.dogtas.com/sandalyeler	Brand	Masa / Sandalye	I/C
bohem tv ünitesi	5200	4	491	0	5	https://www.dogtas.com/legna-tv-unitesi	Quick Win	TV Ünitesi	I/C
yemek masası	40000	14	478	1	6	https://www.dogtas.com/yemek-masalari	Quick Win	Masa / Sandalye	I/C
doğtaş çekyat modelleri	600	1	468	0	4	https://www.dogtas.com/yatakli-koltuklar	Brand	Koltuk / Oturma	I/C
oturma grubu modelleri	4500	4	465	6	5	https://www.dogtas.com/oturma-grubu	Quick Win	Koltuk / Oturma	I/C
doğtaş yatak	600	1	461	0	6	https://www.dogtas.com/yatak-odasi	Brand	Yatak / Baza	I/C
düğün paketi mobilya	6400	6	451	0	8	https://www.dogtas.com/dugun-paketleri	Quick Win	Düğün / Çeyiz	I/C
doğtaş lambader	500	1	445	0	5	https://home.dogtas.com/collections/lambader	Brand	Dekorasyon / Aksesuar	I/C/T
yemek masası sandalyesi	7300	8	434	1	5	https://www.dogtas.com/sandalyeler	Quick Win	Masa / Sandalye	I/C
retro ne demek	15000	6	430	0	1	https://www.dogtas.com/retro-ne-demek	Quick Win	Blog / Bilgi	I
doğtaş çalışma masası	500	1	421	0	5	https://www.dogtas.com/genc-ve-cocuk-odasi-calisma-masalari	Brand	Masa / Sandalye	I/C
pati dostu kumaş	1200	1	421	0	8	https://www.dogtas.com/pati-dostu-kumas-urunleri	Long-Tail	Koltuk / Oturma	I/C
doğtaş costa koltuk takımı	600	1	416	0		https://www.dogtas.com/bohem-costa-koltuk-takimi	Brand	Koltuk / Oturma	I/C
konsol modelleri	17000	11	401	0	3	https://www.dogtas.com/konsollar	Quick Win	Sehpa / Konsol	I/C
dogtas mobilya	1200	1	400	1	4	https://www.dogtas.com/tr	Brand	Diğer	I/C
doğtaş kanepe	400	1	399	0	4	https://www.dogtas.com/yatakli-koltuklar	Brand	Koltuk / Oturma	I/C
salon masa sandalye takımı doğtaş	450	1	396	1	5	https://www.dogtas.com/yemek-masalari	Brand	Masa / Sandalye	I/C
köşe koltuk	14000	12	393	2	7	https://www.dogtas.com/kose-takimlari	Quick Win	Koltuk / Oturma	I/C/T
konsol	35000	11	392	0	4	https://www.dogtas.com/konsollar	Quick Win	Sehpa / Konsol	I/C
sandalye modelleri	15000	10	391	2	3	https://www.dogtas.com/sandalyeler	Quick Win	Masa / Sandalye	I/C
en iyi koltuk kumaşı	700	1	380	0	4	https://www.dogtas.com/en-kullanisli-koltuk-kumasi-hangisi	Long-Tail	Koltuk / Oturma	I
doğtaş exclusive	1000	1	380	0	5	https://www.dogtas.com/tr	Brand	Diğer	I/C
şifonyer nedir	1900	1	378	0	5	https://www.dogtas.com/sifonyer-nedir	Non-Brand	Blog / Bilgi	I
antrasit renk	20000	5	364	0	1	https://www.dogtas.com/antrasit-renk-nedir	Quick Win	Dekorasyon / Aksesuar	I
doğtaş mutfak masa sandalye	600	1	362	0	3	https://www.dogtas.com/mutfak-grubu	Brand	Masa / Sandalye	I/C
doğtaş mutfak masa sandalye takımı	600	1	353	0	3	https://www.dogtas.com/mutfak-grubu	Brand	Masa / Sandalye	I/C
doğtaş dresuar	600	1	350	0	4	https://www.dogtas.com/dresuarlar	Brand	Yatak Odası	I/C
doğtaş köşe takımları	500	1	344	0	4	https://www.dogtas.com/kose-takimlari	Brand	Koltuk / Oturma	I/C
yemek odası	5900	8	331	4	7	https://www.dogtas.com/yemek-odasi	Quick Win	Yemek Odası	I/C
doğuş mobilya	800	1	326	1	4	https://www.dogtas.com/tr	Brand	Diğer	I/C
doğtaş teşhir ürünleri	600	1	321	0	5	https://www.dogtas.com/dogtas-outlet-etimesgut	Brand	Diğer	I/C
berjer koltuk	9900	9	315	0	7	https://www.dogtas.com/berjerler	Quick Win	Koltuk / Oturma	I/C
yataklı koltuk	4600	8	314	0	7	https://www.dogtas.com/yatakli-koltuklar	Quick Win	Koltuk / Oturma	I/C
doğtaş şifonyer	400	1	312	0	5	https://www.dogtas.com/sifonyerler	Brand	Yatak Odası	I/C
bohem köşe koltuk	2500	3	298	0	7	https://www.dogtas.com/bohem-bien-kose-takimi	Long-Tail	Koltuk / Oturma	I/C
gardırop	14000	12	295	2	8	https://www.dogtas.com/dolaplar	Quick Win	Yatak Odası	I/C
salon salomanje	700	1	294	0	1	https://www.dogtas.com/salon-salomanje	Non-Brand	Blog / Bilgi	I
yemek masası takımı	40000	13	292	2	5	https://www.dogtas.com/yemek-odasi	Quick Win	Masa / Sandalye	I/C
leke tutmayan koltuk kumaşları	3800	5	290	0	3	https://www.dogtas.com/leke-tutmayan-koltuk-kumaslari-nelerdir	Quick Win	Koltuk / Oturma	I
doğtaş toscana yatak odası	400	1	283	0	3	https://www.dogtas.com/toscana-yatak-odasi	Brand	Yatak Odası	I/C
doğtaş masa sandalye	700	1	281	0	4	https://www.dogtas.com/yemek-masalari	Brand	Masa / Sandalye	I/C
