Keyword	Hacim	Pozisyon	Trafik	KD	CPC (cent)	URL	Kategori	Cluster	Intent
oturma grubu	20000	2	3734	5	7	https://www.istikbal.com.tr/kategori/oturma-odasi	Non-Brand	Koltuk / Oturma	I/C
çalışma masası	97000	10	3458	4	6	https://www.istikbal.com.tr/kategori/calisma-masasi	Quick Win	Masa / Sandalye	I/C
çekyat	11000	2	3351	3	7	https://www.istikbal.com.tr/kategori/kanepe-koltuk	Non-Brand	Koltuk / Oturma	I/C
yatak odası	17000	1	3259	5	7	https://www.istikbal.com.tr/kategori/yatak-odasi-takimi	Non-Brand	Yatak Odası	I/C
istikbal venon koltuk takımı	4300	1	3252	0		https://www.istikbal.com.tr/urun/venon-koltuk-takimi-kiremit	Brand	Koltuk / Oturma	I/C
mutfak masası	47000	7	3122	1	4	https://www.istikbal.com.tr/kategori/mutfak-masa-takimi	Quick Win	Masa / Sandalye	I/C
koltuk takimi	8600	1	3026	9	7	https://www.istikbal.com.tr/kategori/koltuk-takimlari	Non-Brand	Koltuk / Oturma	I/C
köşe takımı	19000	4	2970	3	6	https://www.istikbal.com.tr/kategori/kose-takimlari	Quick Win	Koltuk / Oturma	I/C
köşe koltuk	14000	3	2928	2	7	https://www.istikbal.com.tr/kategori/kose-takimlari	Non-Brand	Koltuk / Oturma	I/C/T
istikbal köşe takımı	2600	1	2897	0	1	https://www.istikbal.com.tr/kategori/kose-takimlari	Brand	Koltuk / Oturma	I/C
yemek masası	40000	6	2847	1	6	https://www.istikbal.com.tr/kategori/yemek-masasi	Quick Win	Masa / Sandalye	I/C
istikbal koltuk-takımları fiyatları	3800	1	2760	0	3	https://www.istikbal.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
istikbal koltuk takımı 3+3+1+1	4200	1	2655	0	4	https://www.istikbal.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
kitaplık	47000	10	2655	3	4	https://www.istikbal.com.tr/kategori/kitaplik	Quick Win	Dekorasyon / Aksesuar	I/C
yatak odasi takimi	5600	1	2597	5	8	https://www.istikbal.com.tr/kategori/yatak-odasi-takimi	Non-Brand	Yatak Odası	I/C
genç odası	22000	5	2481	1	6	https://www.istikbal.com.tr/kategori/genc-odasi-takimlari	Quick Win	Genç / Çocuk Odası	I/C
istikbal'de köşe takımı fiyatları	4200	1	2476	0	4	https://www.istikbal.com.tr/kategori/kose-takimlari	Brand	Koltuk / Oturma	I/C
tv ünitesi	73000	10	2365	7	5	https://www.istikbal.com.tr/kategori/tv-unitesi-1	Quick Win	TV Ünitesi	I/C/T
kanepe	16000	3	2359	3	6	https://www.istikbal.com.tr/kategori/kanepe-koltuk	Non-Brand	Koltuk / Oturma	I/C
yatak odası modelleri	7100	1	2228	4	6	https://www.istikbal.com.tr/kategori/yatak-odasi-takimi	Non-Brand	Yatak Odası	I/C
istikbal baza	2200	1	2208	0	2	https://www.istikbal.com.tr/kategori/baza	Brand	Yatak / Baza	I/C
yemek odası takımı	14000	4	2116	3	6	https://www.istikbal.com.tr/kategori/yemek-odasi-takimlari	Quick Win	Yemek Odası	I/C
istikbal tek kişilik baza	2200	1	2075	0	2	https://www.istikbal.com.tr/kategori/baza	Brand	Yatak / Baza	I/C
baza fiyatları	9200	3	2074	2	4	https://www.istikbal.com.tr/kategori/yatak-baza	Non-Brand	Yatak / Baza	I/C
istikbal tek kişilik yatak	2000	1	2054	0	2	https://www.istikbal.com.tr/kategori/yatak	Brand	Yatak / Baza	I/C
viskoz kumaş nedir	6600	1	1979	0	1	https://www.istikbal.com.tr/blog/icerik/viskon-kumas-nedir-ozellikleri-ve-kullanim-alanlari	Non-Brand	Blog / Bilgi	I
tv sehpası	14000	4	1931	0	6	https://www.istikbal.com.tr/kategori/tv-sehpasi	Quick Win	TV Ünitesi	I/C
istikbal koltuk takımı fiyatları	1500	1	1894	1	3	https://www.istikbal.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
düğün paketi mobilya	6400	3	1893	0	8	https://www.istikbal.com.tr/kategori/dugun-paketi	Non-Brand	Düğün / Çeyiz	I/C
salon takımı - istikbal fiyatları	2700	1	1847	0	3	https://www.istikbal.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
istikbal ranza	1500	1	1820	0	3	https://www.istikbal.com.tr/kategori/ranza	Brand	Genç / Çocuk Odası	I/C
koltuk takımları	7400	1	1786	8	7	https://www.istikbal.com.tr/kategori/koltuk-takimlari	Non-Brand	Koltuk / Oturma	I/C
istikbal yatak fiyatları	1700	1	1741	0	2	https://www.istikbal.com.tr/kategori/yatak	Brand	Yatak / Baza	I/C
istikbal müşteri hizmetleri	2100	1	1684	0	3	https://www.istikbal.com.tr/sayfa/mesafeli-satis-sozlesmesi	Brand	Diğer	I
istikbal tek kişilik baza+yatak+başlık kampanyası	2600	1	1661	0	3	https://www.istikbal.com.tr/kategori/yatak-baza	Brand	Yatak / Baza	I/C
genç odası takımı	17000	6	1660	2	6	https://www.istikbal.com.tr/kategori/genc-odasi-takimlari	Quick Win	Genç / Çocuk Odası	I/C
istikbal talia koltuk takımı	2000	1	1655	0		https://www.istikbal.com.tr/urun/talia-koltuk-takimi-lacivert-1	Brand	Koltuk / Oturma	I/C
zigon sehpa	32000	8	1613	0	4	https://www.istikbal.com.tr/kategori/zigon-sehpa-1	Quick Win	Sehpa / Konsol	I/C
salon koltuk takımı	4600	1	1577	9	7	https://www.istikbal.com.tr/kategori/koltuk-takimlari	Long-Tail	Koltuk / Oturma	I/C
polyamid nedir	4900	1	1568	0	1	https://www.istikbal.com.tr/blog/icerik/polyamid-kumas-nedir-polyamid-kumas-ozellikleri-nelerdir	Non-Brand	Blog / Bilgi	I
istikbal baza başlık	1400	1	1558	0	2	https://www.istikbal.com.tr/kategori/yatak-baza	Brand	Yatak / Baza	I/C
oturma grubu fiyatları	4200	2	1541	4	6	https://www.istikbal.com.tr/kategori/oturma-odasi	Long-Tail	Koltuk / Oturma	I/C
konsol modelleri	17000	5	1530	0	3	https://www.istikbal.com.tr/kategori/konsol	Quick Win	Sehpa / Konsol	I/C
tek kişilik yatak	27000	5	1461	2	5	https://www.istikbal.com.tr/kategori/yatak	Quick Win	Yatak / Baza	I/C
istikbal çift kişilik baza + başlık + yatak takımı 160x200 cm	2400	1	1456	0		https://www.istikbal.com.tr/kategori/yatak-baza	Brand	Yatak / Baza	I/C
istikbal baza+yatak+başlık kampanyası fiyatları	2000	1	1425	0	4	https://www.istikbal.com.tr/kategori/yatak-baza	Brand	Yatak / Baza	I/C
polyamid kumaş nedir	3800	1	1419	0	2	https://www.istikbal.com.tr/blog/icerik/polyamid-kumas-nedir-polyamid-kumas-ozellikleri-nelerdir	Long-Tail	Blog / Bilgi	I
çift kişilik yatak ölçüleri	8700	1	1416	0	6	https://www.istikbal.com.tr/kategori/yatak	Non-Brand	Yatak / Baza	I
istikbal masa-sandalye fiyatları	2000	1	1412	0	1	https://www.istikbal.com.tr/kategori/mutfak-masa-takimi	Brand	Masa / Sandalye	I/C
istikbal mitra koltuk takımı	2000	1	1353	0	1	https://www.istikbal.com.tr/urun/mitra-koltuk-takimi-bej	Brand	Koltuk / Oturma	I/C
istikbal çekyat	1200	1	1351	0	2	https://www.istikbal.com.tr/kategori/kanepe-koltuk	Brand	Koltuk / Oturma	I/C
istikbal'de yatak fiyatları	2700	1	1349	0	3	https://www.istikbal.com.tr/kategori/yatak	Brand	Yatak / Baza	I/C
yatak odası takımı - istikbal fiyatı	2000	1	1330	0	5	https://www.istikbal.com.tr/kategori/yatak-odasi-takimi	Brand	Yatak Odası	I/C
chester koltuk istikbal avangart salon takımı	1600	1	1328	0		https://www.istikbal.com.tr/kategori/avangard-koltuk-takimi	Brand	Koltuk / Oturma	I/C
istikbal'de tek kişilik yatak fiyatları	2300	1	1318	0	2	https://www.istikbal.com.tr/kategori/yatak	Brand	Yatak / Baza	I/C
yatak odası takımı fiyatları	7700	1	1308	4	7	https://www.istikbal.com.tr/kategori/yatak-odasi-takimi	Non-Brand	Yatak Odası	I/C
istikbal orta sehpa	1500	1	1275	0	1	https://www.istikbal.com.tr/kategori/orta-sehpa-2	Brand	Sehpa / Konsol	I/C
istikbal tv ünitesi	1600	1	1240	0	2	https://www.istikbal.com.tr/kategori/tv-unitesi-1	Brand	TV Ünitesi	I/C
evlilik paketi	1700	1	1216	0	8	https://www.istikbal.com.tr/kategori/dugun-paketi	Non-Brand	Düğün / Çeyiz	I/C
istikbal mutfak masası	1200	1	1206	0	1	https://www.istikbal.com.tr/kategori/mutfak-masa-takimi	Brand	Masa / Sandalye	I/C/T
istikbal'de çekyat fiyatları	2100	1	1203	0	3	https://www.istikbal.com.tr/kategori/kanepe-koltuk	Brand	Koltuk / Oturma	I/C
mutfak masası takımı	21000	7	1185	2	4	https://www.istikbal.com.tr/kategori/mutfak-masa-takimi	Quick Win	Masa / Sandalye	I/C
istikbal gardrop	1200	1	1184	0	3	https://www.istikbal.com.tr/kategori/dolap	Brand	Yatak Odası	I/C
visco yatak nedir	1700	1	1170	0	5	https://www.istikbal.com.tr/blog/icerik/visco-yatak-nedir-kimler-visco-yatak-tercih-etmeli	Long-Tail	Blog / Bilgi	I
istikbal çalışma masası	900	1	1165	0	3	https://www.istikbal.com.tr/kategori/calisma-masasi	Brand	Masa / Sandalye	I/C
montessori yatak	32000	9	1129	0	8	https://www.istikbal.com.tr/kategori/montessori-yatak	Quick Win	Yatak / Baza	I/C
balkon takımı	20000	7	1118	1	3	https://www.istikbal.com.tr/kategori/bahce-mobilyalari	Quick Win	Diğer	I/C/T
istikbal'de çekyat modelleri	1800	1	1116	0	3	https://www.istikbal.com.tr/kategori/kanepe-koltuk	Brand	Koltuk / Oturma	I/C
çift kişilik yatak	31000	5	1110	3	5	https://www.istikbal.com.tr/kategori/yatak	Quick Win	Yatak / Baza	I/C
salon takımı modelleri	3800	1	1089	8	5	https://www.istikbal.com.tr/kategori/koltuk-takimlari	Long-Tail	Koltuk / Oturma	I/C
gri ile uyumlu renkler	5100	1	1085	0	1	https://www.istikbal.com.tr/blog/icerik/ev-dekorasyonunda-gri-ile-uyumlu-renkler-nelerdir	Non-Brand	Dekorasyon / Aksesuar	I
tek kişilik baza istikbal	700	1	1057	0	2	https://www.istikbal.com.tr/kategori/baza	Brand	Yatak / Baza	I/C
çocuk odası takımı	12000	3	1057	1	6	https://www.istikbal.com.tr/kategori/cocuk-genc-odasi-takimlari	Non-Brand	Genç / Çocuk Odası	I/C
istikbal zigon sehpa	1200	1	1055	0	1	https://www.istikbal.com.tr/kategori/zigon-sehpa-1	Brand	Sehpa / Konsol	I/C/T
istikbal'de yatak odası takımları	1300	1	1021	0	5	https://www.istikbal.com.tr/kategori/yatak-odasi-takimi	Brand	Yatak Odası	I/C
masa sandalye takımı	25000	9	1017	1	4	https://www.istikbal.com.tr/kategori/mutfak-masa-takimi	Quick Win	Masa / Sandalye	I/C
kanepe fiyatları	6100	4	1015	3	4	https://www.istikbal.com.tr/kategori/kanepe-koltuk	Quick Win	Koltuk / Oturma	I/C
istikbal'de tek kişilik baza fiyatları	1800	1	1009	0	3	https://www.istikbal.com.tr/kategori/baza	Brand	Yatak / Baza	I/C
