Keyword	Hacim	Pozisyon	Trafik	KD	CPC (cent)	URL	Kategori	Cluster	Intent
yemek masası takımı	40000	8	1568	2	5	https://www.kelebek.com/yemek-odasi-takimi	Quick Win	Masa / Sandalye	I/C
kelebek genç odası	2100	1	1508	0	6	https://www.kelebek.com/genc-odasi-takimlari	Brand	Genç / Çocuk Odası	I/C
kelebek yatak odası	3000	1	1463	0	2	https://www.kelebek.com/yatak-odasi-takimi	Brand	Yatak Odası	I/C
yataklı kanepe	4100	2	1459	0	6	https://www.kelebek.com/yatakli-koltuk	Non-Brand	Koltuk / Oturma	I/C/T
genç odası	22000	8	1458	1	6	https://www.kelebek.com/martha-genc-odasi-takimi	Quick Win	Genç / Çocuk Odası	I/C
kelebek mobilya koltuk takımı	2000	1	1441	0	2	https://www.kelebek.com/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
mutfak masa takımı	9500	4	1437	2	4	https://www.kelebek.com/mutfak-masa-takimi	Quick Win	Masa / Sandalye	I/C
kelebek köşe takımı	2400	1	1380	0	3	https://www.kelebek.com/kose-takimi	Brand	Koltuk / Oturma	I/C
orta sehpa modelleri	13000	4	1354	0	3	https://www.kelebek.com/orta-sehpa	Quick Win	Sehpa / Konsol	I/C
bar masası	7100	3	1294	0	9	https://www.kelebek.com/marbel-aluminyum-bar-masasi	Non-Brand	Masa / Sandalye	I/C/T
köşe koltuk takımı	23000	9	1252	2	6	https://www.kelebek.com/kose-takimi	Quick Win	Koltuk / Oturma	I/C
konsol modelleri	17000	6	1224	0	3	https://www.kelebek.com/konsol	Quick Win	Sehpa / Konsol	I/C
kelebek mobilya yatak odası	1200	1	1125	0	2	https://www.kelebek.com/yatak-odasi-takimi	Brand	Yatak Odası	I/C
yemek odası takımı	14000	7	1084	3	6	https://www.kelebek.com/yemek-odasi-takimi	Quick Win	Yemek Odası	I/C
kelebek mobilya müşteri hizmetleri	1700	1	1004	0	7	https://www.kelebek.com/iletisim	Brand	Diğer	I
koltuk neyle silinir	2400	1	999	0	5	https://www.kelebek.com/blog-koltuk-nasil-silinir-ve-temizlenir-temizlik-onerileri	Long-Tail	Koltuk / Oturma	I
l koltuk takımı	25000	8	992	3	5	https://www.kelebek.com/kose-takimi	Quick Win	Koltuk / Oturma	I/C
yataklı koltuk	4600	3	971	0	7	https://www.kelebek.com/yatakli-koltuk	Non-Brand	Koltuk / Oturma	I/C
kelebek mutfak masası	1800	1	966	0	3	https://www.kelebek.com/mutfak-masa-takimi	Brand	Masa / Sandalye	I/C
sehpa	23000	8	873	1	4	https://www.kelebek.com/sehpalar	Quick Win	Sehpa / Konsol	I/C
açılır kapanır masa	8400	4	866	0	3	https://www.kelebek.com/acilir-masa	Quick Win	Masa / Sandalye	I/C
kelebek tv ünitesi	1400	1	860	0	4	https://www.kelebek.com/tv-unitesi	Brand	TV Ünitesi	I/C
bebek odası	9400	6	805	0	6	https://www.kelebek.com/bebek-odasi-takimlari	Quick Win	Genç / Çocuk Odası	I/C
köşe koltuk	14000	9	768	2	7	https://www.kelebek.com/kose-takimi	Quick Win	Koltuk / Oturma	I/C/T
bebek odası takımı	8600	5	745	0	7	https://www.kelebek.com/bebek-odasi-takimlari	Quick Win	Genç / Çocuk Odası	I/C
mobilya	29000	12	724	64	7	https://www.kelebek.com/	Non-Brand	Diğer	I/C
yuvarlak masa	12000	6	702	0	7	https://www.kelebek.com/martha-yuvarlak-acilir-masa	Quick Win	Masa / Sandalye	I/C/T
kelebek yemek masası	1100	1	687	0	1	https://www.kelebek.com/masalar	Brand	Masa / Sandalye	I/C
genç odası takımı	17000	10	680	2	6	https://www.kelebek.com/genc-odasi-takimlari	Quick Win	Genç / Çocuk Odası	I/C
ikili koltuk	7100	6	673	0	5	https://www.kelebek.com/ikili-koltuk	Quick Win	Koltuk / Oturma	I/C
şifonyer modelleri	7500	5	617	1	4	https://www.kelebek.com/sifonyer	Quick Win	Yatak Odası	I/C
kelebek oturma grubu	800	1	580	0	6	https://www.kelebek.com/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
bohem	17000	5	570	0	4	https://www.kelebek.com/blog-bohem-tarz-nedir-bohem-ne-demektir	Quick Win	Dekorasyon / Aksesuar	I/C
yatak odası	17000	9	548	5	7	https://www.kelebek.com/lidya-yatak-odasi-takimi	Quick Win	Yatak Odası	I/C
kelebek yatak odası takımı	900	1	533	0	2	https://www.kelebek.com/yatak-odasi-takimi	Brand	Yatak Odası	I/C
yatak olan koltuk	4600	4	521	0	5	https://www.kelebek.com/yatakli-koltuk	Quick Win	Yatak / Baza	I/C
kelebek yemek odası	1200	1	510	0	2	https://www.kelebek.com/yemek-odasi-takimi	Brand	Yemek Odası	I/C
bohem ne demek	18000	6	489	0	1	https://www.kelebek.com/blog-bohem-tarz-nedir-bohem-ne-demektir	Quick Win	Blog / Bilgi	I
kelebek müşteri hizmetleri	900	1	489	0	3	https://www.kelebek.com/iletisim	Brand	Diğer	I
bazalı karyola	1900	2	483	0	8	https://www.kelebek.com/bazali-karyola	Non-Brand	Yatak / Baza	I/C/T
yatak	38000	11	460	9	6	https://www.kelebek.com/noira-yatak-odasi-takimi	Quick Win	Yatak / Baza	I/C
kelebek masa	900	1	454	0	2	https://www.kelebek.com/masalar	Brand	Masa / Sandalye	I/C
kitaplıklı tv ünitesi	2600	2	451	0	7	https://www.kelebek.com/kitapliklar	Long-Tail	TV Ünitesi	I/C
koltuk takımı modelleri	17000	10	440	9	7	https://www.kelebek.com/koltuk-takimlari	Quick Win	Koltuk / Oturma	I/C
yemek odası	5900	7	417	4	7	https://www.kelebek.com/yemek-odasi-takimi	Quick Win	Yemek Odası	I/C
mutfak masa sandalye	3800	5	416	2	4	https://www.kelebek.com/mutfak-masa-takimi	Quick Win	Masa / Sandalye	I/C/T
berjer koltuk	9900	8	394	0	7	https://www.kelebek.com/berjer	Quick Win	Koltuk / Oturma	I/C
sehpa modelleri	21000	11	388	1	2	https://www.kelebek.com/sehpalar	Quick Win	Sehpa / Konsol	I/C
kelebek mobilya koltuk	400	1	385	0	8	https://www.kelebek.com/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
kelebek mobilya tv ünitesi	600	1	385	0	5	https://www.kelebek.com/tv-unitesi	Brand	TV Ünitesi	I/C
açılır mutfak masası	3200	3	383	0	4	https://www.kelebek.com/acilir-masa	Long-Tail	Masa / Sandalye	I/C
kelebek mobilya yemek odası	500	1	371	0	4	https://www.kelebek.com/yemek-odasi/yemek-odasi-takimi/	Brand	Yemek Odası	I/C
sehpa takımı	5900	6	368	0	3	https://www.kelebek.com/zigon-sehpa	Quick Win	Sehpa / Konsol	I/C
bohem yemek masası	12000	9	358	0	7	https://www.kelebek.com/calina-bohem-yemek-odasi-takimi	Quick Win	Masa / Sandalye	I/C
chester koltuk	14000	9	356	0	8	https://www.kelebek.com/vanensi-chester-koltuk-takimi	Quick Win	Koltuk / Oturma	I/C
kelebek yataklı kanepe	600	1	353	0	6	https://www.kelebek.com/yatakli-koltuk	Brand	Koltuk / Oturma	I/C
l koltuk fiyatları	3700	6	352	2	4	https://www.kelebek.com/kose-takimi	Quick Win	Koltuk / Oturma	I/C
mobilya takımı	4900	7	347	9	6	https://www.kelebek.com/koltuk-takimlari	Quick Win	Koltuk / Oturma	I/C
kelebek yemek masası takımı	450	1	334	0		https://www.kelebek.com/yemek-odasi-takimi	Brand	Masa / Sandalye	I/C
oyuncak kelebek	2200	2	332	0	1	https://www.kelebek.com/kelebek-kids/cocuk-oyuncak/	Brand	Diğer	I/C
kelebek kitaplık	350	1	323	0	2	https://www.kelebek.com/yemek-odasi/salon-kitaplik/	Brand	Dekorasyon / Aksesuar	I/C
karyola yatak	3400	4	315	1	6	https://www.kelebek.com/karyola	Quick Win	Yatak / Baza	I/C
salon takımı modelleri	3800	4	312	8	5	https://www.kelebek.com/koltuk-takimlari	Quick Win	Koltuk / Oturma	I/C
kelebek köşe takımları	400	1	312	0	3	https://www.kelebek.com/kose-takimi	Brand	Koltuk / Oturma	I/C
kelebek mobilya müşteri hizmetleri 0850	700	1	311	0	18	https://www.kelebek.com/size-ozel-ucretsiz-randevulu-alisveris-hizmeti	Brand	Diğer	I
televizyon ünitesi	15000	10	310	7	4	https://www.kelebek.com/tv-unite-takimi	Quick Win	TV Ünitesi	I/C
yataklı koltuk takımları	600	1	308	0	7	https://www.kelebek.com/yatakli-koltuk	Long-Tail	Koltuk / Oturma	I/C/T
yan sehpa	6300	9	302	0	8	https://www.kelebek.com/yan-sehpa	Quick Win	Sehpa / Konsol	I/C
masa	31000	6	291	3	3	https://www.kelebek.com/sabit-masa	Quick Win	Masa / Sandalye	I/C
tek kişilik karyola	3800	6	286	0	4	https://www.kelebek.com/karyola	Quick Win	Yatak / Baza	I/C
kelebek sandalye	600	1	284	0	3	https://www.kelebek.com/sandalye-bench	Brand	Masa / Sandalye	I/C
salon takımları	2600	4	281	9	7	https://www.kelebek.com/koltuk-takimlari	Quick Win	Koltuk / Oturma	I/C
kelebek mobilya iletişim	450	1	281	0	4	https://www.kelebek.com/online-satis-danismani/	Brand	Diğer	I
kelebek gardırop	400	1	280	0		https://www.kelebek.com/yatak-odasi/dolap/	Brand	Yatak Odası	I/C
gardrop	32000	10	279	2	8	https://www.kelebek.com/dolap	Quick Win	Yatak Odası	I/C
koltuk yatak	3400	5	278	0	4	https://www.kelebek.com/yatakli-koltuk	Quick Win	Yatak / Baza	I/C
kelebek konsol	450	1	277	0	5	https://www.kelebek.com/yemek-odasi/konsol/	Brand	Sehpa / Konsol	I/C
yatak odası takımı fiyatları	7700	8	272	4	7	https://www.kelebek.com/yatak-odasi-takimi	Quick Win	Yatak Odası	I/C
koltuk ne ile silinir	700	1	271	0	3	https://www.kelebek.com/blog-koltuk-nasil-silinir-ve-temizlenir-temizlik-onerileri	Long-Tail	Koltuk / Oturma	I
açılır yuvarlak masa	1700	2	271	0	7	https://www.kelebek.com/urun/martha-yuvarlak-acilir-masa-buz-gri-3200420905/	Long-Tail	Masa / Sandalye	I/C
kelebek salon takımı	350	1	258	0	3	https://www.kelebek.com/oturma-odasi/koltuk-takimi/	Brand	Koltuk / Oturma	I/C
kelebek masa sandalye modelleri	350	1	255	0	3	https://www.kelebek.com/yemek-odasi/mutfak-masa-takimi/	Brand	Masa / Sandalye	I/C
kelebek mobilya orta sehpa	250	1	255	0	2	https://www.kelebek.com/tv-unitesi/orta-sehpa/	Brand	Sehpa / Konsol	I/C
