Keyword	Hacim	Pozisyon	Trafik	KD	CPC (cent)	URL	Kategori	Cluster	Intent
ucuz koltuk takımı 3+3+1+1 bellona	2500	1	1439	1	6	https://www.bellona.com.tr/kategori/koltuk-takimlari	Brand	Koltuk / Oturma	I/C
perde kaç derecede yıkanır	2900	1	1439	0	1	https://www.bellona.com.tr/blog/icerik/perde-temizligi-yontemler	Long-Tail	Ev Tekstili	I
bellona loretto koltuk takımı	2700	1	1413	0	1	https://www.bellona.com.tr/urun/loretto-koltuk-takimi	Brand	Koltuk / Oturma	I/C
bellona çoçuk odası	1300	1	1399	0	2	https://www.bellona.com.tr/kategori/cocuk-ve-genc-odasi	Brand	Diğer	I/C
bellona valencia	2000	1	1396	0	2	https://www.bellona.com.tr/urun/valencia-koltuk-takimi	Brand	Diğer	I/C/T
bellona köşe takımları fiyatları	1800	1	1384	0	4	https://www.bellona.com.tr/kategori/kose-koltuk	Brand	Koltuk / Oturma	I/C
bellona'da çekyat fiyatları	2200	1	1382	0	5	https://www.bellona.com.tr/kategori/kanepe-koltuk	Brand	Koltuk / Oturma	I/C
bohem yatak odası	13000	2	1366	0	7	https://www.bellona.com.tr/urun/boheems-yatak-odasi-takimi	Non-Brand	Yatak Odası	I/C
leke tutmayan koltuk kumaşları	3800	1	1362	0	3	https://www.bellona.com.tr/blog/icerik/leke-tutmayan-koltuk-kumaslari	Long-Tail	Koltuk / Oturma	I
bellona yataklı kanepe	1000	1	1312	0	5	https://www.bellona.com.tr/kategori/yatakli-koltuk-cek-yat	Brand	Koltuk / Oturma	I/C
perdeler hangi programda yıkanır	3100	1	1301	0	19	https://www.bellona.com.tr/blog/icerik/perde-temizligi-yontemler	Long-Tail	Ev Tekstili	I
antoryum çiçeği	22000	4	1282	0	4	https://www.bellona.com.tr/blog/icerik/antoryum-cicegi-bakimi	Quick Win	Blog / Bilgi	I
bellona baza+yatak+başlık kampanyası	1800	1	1275	0	4	https://www.bellona.com.tr/kategori/yatak-ve-baza	Brand	Yatak / Baza	I/C/T
120x200 yatak baza+başlık set bellona	1900	1	1258	0	5	https://www.bellona.com.tr/urun/flexy-baza-baslik-takimi-antrasit-ayak-120x200	Brand	Yatak / Baza	I/C
atatürk çiçeği	36000	5	1258	0	2	https://www.bellona.com.tr/blog/icerik/ataturk-cicegi-bakimi	Brand	Blog / Bilgi	I/C
evde mum yapımı	2800	1	1249	0	1	https://www.bellona.com.tr/blog/icerik/mum-nasil-yapilir-pratik-ve-en-guzel-mum-yapma-tuyolari	Long-Tail	Dekorasyon / Aksesuar	I
gardırop	14000	6	1247	2	8	https://www.bellona.com.tr/kategori/gardirop-elbise-dolabi	Quick Win	Yatak Odası	I/C
bellona kanepe modelleri	2300	1	1245	0	3	https://www.bellona.com.tr/kategori/kanepe-koltuk	Brand	Koltuk / Oturma	I/C
